1	n-m	awb	ʼâb	heb	- אָב	a primitive word;		◊meaning:	- def: father	- ', in a literal and immediate, or figurative and remote application'	usage: chief, (fore-) father(-less), × patrimony, principal. Compare names in	  'Abi-'.																																						
2	n-m	ab	ʼab	arc	- אַב	- (Aramaic) corresponding to	  - '@src': H1	  - '1'	usage: father.																																									
3	n-m	abe	ʼêb	heb	- אֵב	- from the same as	  - '@src': H24	  - '24'	- ;	◊meaning:	- a	- def: green	- plant	usage: greenness, fruit.																																				
4	n-m	abe	ʼêb	arc	- אֵב	- (Aramaic) corresponding to	  - '@src': H3	  - '3'	usage: fruit.																																									
5	n-pr-m	ab-ag-thaw'	ʼĂbagthâʼ	x-pn	- אֲבַגְתָא	of foreign origin;		◊meaning:	- def: Abagtha	- ', a eunuch of Xerxes'	usage: Abagtha.																																							
6	v	aw-bad'	ʼâbad	heb	- אָבַד	a primitive root;		◊meaning:	- properly, to	- def: wander	- away, i.e.	- def: lose	- oneself; by implication to	- def: perish	- (causative,	- def: destroy	- )	usage: break, destroy(-uction),   not escape, fail, lose, (cause to, make) perish,	  spend, × and surely, take, be undone, × utterly, be void of, have no way to	  flee.																														
7	v	ab-ad'	ʼăbad	arc	- אֲבַד	- (Aramaic) corresponding to	  - '@src': H6	  - '6'	usage: destroy, perish.																																									
8	n-m	o-bade'	ʼôbêd	heb	- אֹבֵד	- active of participle of	  - '@src': H6	  - '6'	- ;	◊meaning:	- (concrete)	- def: wretched	- or (abstract)	- def: destruction	usage: perish.																																			
9	n-f	ab-ay-daw'	ʼăbêdâh	heb	- אֲבֵדָה	- from	  - '@src': H6	  - '6'	- ; Compare	- w:	  - '@src': H10	  - '10'	- .	◊meaning:	- concrete, something	- def: lost	- ; abstract,	- def: destruction	- ', i.e. Hades'	usage: lost.																														
10	n-f	ab-ad-do'	ʼăbaddôh	heb	- אֲבַדֹּה	- the same as	  - '@src': H9	  - '9'	- ', miswritten for'	- w:	  - '@src': H11	  - '11'	- ;	◊meaning:	- a	- def: perishing	usage: destruction.																																	
11	n-pr-loc	ab-ad-done'	ʼăbaddôwn	heb	- אֲבַדּוֹן	- intensive from	  - '@src': H6	  - '6'	- ;	◊meaning:	- abstract, a	- def: perishing	- ; concrete, Hades	usage: destruction.																																				
12	n-m	ab-dawn'	ʼabdân	heb	- אַבְדָן	- from	  - '@src': H6	  - '6'	- ;	◊meaning:	- a	- def: perishing	usage: destruction.																																					
13	n-m	ob-dawn'	ʼobdan	heb	- אׇבְדַן	- from	  - '@src': H6	  - '6'	- ;	◊meaning:	- a	- def: perishing	usage: destruction.																																					
14	v	aw-baw'	ʼâbâh	heb	- אָבָה	a primitive root;		◊meaning:	- to	- def: breathe	- after, i.e. (figuratively) to	- def: be acquiescent	usage: consent, rest content will, be willing.																																					
15	n-f	aw-beh'	ʼâbeh	heb	- אָבֶה	- from	  - '@src': H14	  - '14'	- ;	◊meaning:	  def: longing	usage: desire.																																						
